Process 0 | jobs14-2 | result: 91 | start-time: 1664357458.435444 | end-time: 1664357458.4354665 | delta: 2.2411346435546875e-05
Process 0 | jobs23-8 | result: 490314 | start-time: 1664357458.439371 | end-time: 1664357459.5595615 | delta: 1.1201903820037842
Process 0 | jobs26-5 | result: 65780 | start-time: 1664357459.6030498 | end-time: 1664357459.8562837 | delta: 0.2532339096069336
Process 1 | jobs25-10 | result: 3268760 | start-time: 1664357458.436165 | end-time: 1664357462.867316 | delta: 4.431150913238525
Process 2 | jobs20-6 | result: 38760 | start-time: 1664357458.4374194 | end-time: 1664357458.4507172 | delta: 0.013297796249389648
Process 2 | jobs27-9 | result: 4686825 | start-time: 1664357458.4548619 | end-time: 1664357464.6036155 | delta: 6.148753643035889
Process 3 | jobs25-2 | result: 300 | start-time: 1664357458.4404545 | end-time: 1664357458.4405255 | delta: 7.104873657226562e-05
Process 3 | jobs10-3 | result: 120 | start-time: 1664357458.4480553 | end-time: 1664357458.4480846 | delta: 2.9325485229492188e-05
Process 3 | jobs29-10 | result: 20030010 | start-time: 1664357458.4516015 | end-time: 1664357472.3416064 | delta: 13.890004873275757
Process 4 | jobs28-13 | result: 37442160 | start-time: 1664357458.452442 | end-time: 1664357476.0062265 | delta: 17.553784608840942
Process 5 | jobs28-5 | result: 98280 | start-time: 1664357458.4487686 | end-time: 1664357458.4939485 | delta: 0.04517984390258789
Process 5 | jobs23-9 | result: 817190 | start-time: 1664357458.5082133 | end-time: 1664357460.0550652 | delta: 1.5468518733978271
Process 6 | jobs15-7 | result: 6435 | start-time: 1664357458.4523816 | end-time: 1664357458.4576735 | delta: 0.005291938781738281
Process 6 | jobs19-5 | result: 11628 | start-time: 1664357458.461831 | end-time: 1664357458.4655886 | delta: 0.003757476806640625
Process 6 | jobs24-6 | result: 134596 | start-time: 1664357458.4758716 | end-time: 1664357458.605376 | delta: 0.12950444221496582
Process 6 | jobs29-12 | result: 51895935 | start-time: 1664357458.619468 | end-time: 1664357478.6509635 | delta: 20.031495571136475
Process 7 | jobs24-7 | result: 346104 | start-time: 1664357458.4655297 | end-time: 1664357458.7561905 | delta: 0.2906608581542969
Process 7 | jobs26-12 | result: 9657700 | start-time: 1664357458.7749538 | end-time: 1664357467.9461188 | delta: 9.171164989471436
